Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.53165E-4,26.259477313,0.347785997,0.157053509,0.191780822,0.152777778
1.54438E-4,26.505706395,0.350098614,0.155465105,0.191780822,0.166666667
1.55852E-4,26.754040414,0.35265719,0.1538767,0.191780822,0.180555556
1.56813E-4,27.004141286,0.354391283,0.152288295,0.205479452,0.180555556
1.5853E-4,27.256465466,0.357476118,0.150699891,0.205479452,0.180555556
1.60318E-4,27.511714252,0.36067347,0.149111486,0.205479452,0.180555556
1.62116E-4,27.753895779,0.36387307,0.147622357,0.205479452,0.194444444
1.63291E-4,28.014129819,0.365955225,0.146033952,0.205479452,0.194444444
1.65305E-4,28.260929661,0.369508918,0.144544823,0.205479452,0.194444444
1.66542E-4,28.509729955,0.371681628,0.143055693,0.205479452,0.194444444
1.67995E-4,28.76084257,0.374224345,0.141566564,0.205479452,0.194444444
1.69482E-4,29.013774948,0.376815326,0.140077435,0.205479452,0.194444444
1.71391E-4,29.252681582,0.380125976,0.138687581,0.205479452,0.194444444
1.72695E-4,29.510677873,0.382376262,0.137198451,0.205479452,0.194444444
1.74851E-4,29.753921944,0.386080741,0.135808597,0.205479452,0.194444444
1.76739E-4,30.000028024,0.389306475,0.134418743,0.205479452,0.194444444
1.78691E-4,30.257164697,0.392624686,0.132929614,0.205479452,0.208333333
1.80195E-4,30.50000171,0.395167086,0.131639035,0.205479452,0.222222222
1.81683E-4,30.75353931,0.397674491,0.130249181,0.205479452,0.222222222
1.8327E-4,31.009135051,0.400335199,0.128859327,0.205479452,0.222222222
1.8586E-4,31.267782776,0.404652988,0.127469473,0.219178082,0.222222222
1.87256E-4,31.510373003,0.40696874,0.126178894,0.232876712,0.222222222
1.89038E-4,31.754995126,0.409909587,0.124888315,0.232876712,0.236111111
1.90493E-4,32.001846521,0.412299816,0.123597737,0.232876712,0.25
1.92156E-4,32.250597102,0.415020684,0.122307158,0.232876712,0.25
1.94778E-4,32.502229125,0.419285583,0.121016579,0.232876712,0.25
1.97196E-4,32.756827616,0.42319083,0.119726,0.232876712,0.25
1.99755E-4,33.014941475,0.42729401,0.118435421,0.232876712,0.25
2.02344E-4,33.256258411,0.43141598,0.117244118,0.232876712,0.25
2.03933E-4,33.500096811,0.433932054,0.116052814,0.232876712,0.25
2.05431E-4,33.766189983,0.436292535,0.114762236,0.232876712,0.25
2.07706E-4,34.01399387,0.439860034,0.113570932,0.232876712,0.25
2.10068E-4,34.264658553,0.443539909,0.112379629,0.246575342,0.25
2.14056E-4,34.519397077,0.449697311,0.111188325,0.246575342,0.25
2.16143E-4,34.755870685,0.45289283,0.110096297,0.246575342,0.263888889
2.1955E-4,35.017924141,0.458069112,0.108904994,0.246575342,0.263888889
2.21313E-4,35.260370482,0.460729711,0.107812965,0.246575342,0.263888889
2.23982E-4,35.505234459,0.464730284,0.106720937,0.260273973,0.263888889
2.26989E-4,35.753269585,0.469202209,0.105628909,0.260273973,0.277777778
2.2835E-4,36.003824201,0.471215311,0.104536881,0.273972603,0.277777778
2.30793E-4,36.256570289,0.474806505,0.103444853,0.273972603,0.277777778
2.32952E-4,36.511618692,0.477960996,0.102352824,0.273972603,0.277777778
2.34727E-4,36.768798025,0.480540954,0.101260796,0.273972603,0.277777778
2.36392E-4,37.004505797,0.482947938,0.100268043,0.273972603,0.277777778
2.39449E-4,37.266356747,0.487339789,0.099176015,0.287671233,0.277777778
2.42685E-4,37.507271034,0.491947816,0.098183262,0.287671233,0.277777778
2.46346E-4,37.751642516,0.497111774,0.097190509,0.287671233,0.291666667
2.49319E-4,38.024682278,0.501266952,0.096098481,0.287671233,0.291666667
2.51545E-4,38.274975438,0.504355197,0.095105728,0.287671233,0.291666667
2.56498E-4,38.503385824,0.511158207,0.094212251,0.287671233,0.291666667
2.6007E-4,38.762020043,0.516005575,0.093219498,0.287671233,0.291666667
2.64291E-4,39.024777075,0.521672433,0.092226745,0.287671233,0.291666667
2.6748E-4,39.259621772,0.525910594,0.091333267,0.301369863,0.291666667
2.728E-4,39.508482097,0.532895724,0.09043979,0.301369863,0.319444444
2.76845E-4,39.756194058,0.538138559,0.089546312,0.301369863,0.319444444
2.79032E-4,40.006444419,0.540948848,0.088652834,0.301369863,0.319444444
2.80593E-4,40.258356214,0.542943183,0.087759357,0.315068493,0.319444444
2.83263E-4,40.51215571,0.546335421,0.086865879,0.315068493,0.319444444
2.87267E-4,40.768874387,0.551376333,0.085972401,0.315068493,0.333333333
2.90765E-4,41.000528761,0.555734034,0.085178199,0.315068493,0.347222222
